"","City","State","MeanAnnual.Temperature","MeanAnnualPrecipitation","NetPrimaryProductivity","Elevation","Residence","NumberBedroooms"
"367","Aliquippa","PA",9.712461774,79.61674312,1.754769841,331.8135986,"One-family house detached from any other house","3"
"368","San Diego","CA",16.81697248,22.42683486,1.389839487,103.6060028,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"369","Fort Worth","TX",18.83256881,69.65810398,0.931783768,197.8705597,"One-family house detached from any other house","4"
"370","San Diego","CA",16.81697248,22.42683486,1.389839487,103.6060028,"Duplex or two-family house (designed for two families)","1"
"371","San Pablo","CA",14.09617737,41.10183486,1.87041945,115.6696014,"One-family house detached from any other house","3"
"373","Ava","MO",14.62324159,90.45703364,1.28800727,317.9291687,"One-family house detached from any other house","3"
"374","Milwaukie","OR",11.17729358,90.90749235,1.927392495,96.17082977,"One-family house detached from any other house","2"
"375","Chicopee","MA",8.512844037,94.40588685,2.191815567,198.4830627,"One-family house detached from any other house","3"
"377","Cambridge","MA",9.388990826,94.63203364,NA,52.88596344,"High rise apartment (multiple units, with 5 or more stories)","2"
"381","hayward","CA",14.09617737,41.10183486,2.266391583,115.6696014,"One-family house detached from any other house","6 or more"
"382","Jackson Heights","NY",11.81796636,92.61200306,2.213204125,23.8580265,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"383","durham","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","2"
"384","Madison","WI",7.432874618,66.84411315,1.038347971,284.4916687,"One-family house detached from any other house","4"
"385","Meridian","ID",9.471559633,35.03555046,1.093049672,1087.946655,"One-family house detached from any other house","6 or more"
"386","New Orleans","LA",20.60412844,127.4941131,2.336803457,1.143264055,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"391","Raleigh","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","3"
"392","Eureka","CA",11.24082569,97.26238532,NA,132.5958862,"One-family house detached from any other house","1"
"393","Stone Ridge","NY",9.274006116,94.33455657,2.103232887,246.6316681,"One-family house detached from any other house","2"
"396","Stoughton","WI",7.887996942,67.07033639,1.038347971,271.980011,"One-family house detached from any other house","4"
"397","Idyllwild","CA",13.26093272,41.88310398,0.383252575,1021.055298,"One-family house detached from any other house","3"
"398","Corvallis","OR",10.75336391,91.75344037,1.420692009,144.807785,"Duplex or two-family house (designed for two families)","1"
"399","Rogers","AR",14.68279817,94.02966361,1.059547246,379.7380676,"One-family house detached from any other house","4"
"400","Tonawanda","NY",8.608792049,67.8601682,1.065982742,123.3691635,"One-family house detached from any other house","3"
"401","Lafayette","CO",6.594877676,32.73715596,0.720737433,2119.006104,"One-family house detached from any other house","3"
"403","Washington crossing","PA",11.35496942,95.97515291,2.082980009,41.57500076,"One-family house detached from any other house","4"
"405","Washington","DC",14.01888379,87.26605505,1.81817838,64.78483582,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","6 or more"
"407","Petaluma","CA",13.79816514,72.84296636,2.483494848,120.170105,"One-family house detached from any other house","3"
"408","Lyme","NH",5.602828746,84.04648318,2.034903087,337.3477783,"One-family house detached from any other house","3"
"409","Apex","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","4"
"410","Hillsborough","NC",14.44793578,93.73470948,1.698932469,190.2480621,"One-family house detached from any other house","2"
"411","Somerville","MA",9.388990826,94.63203364,NA,52.88596344,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"412","Brooklyn","NY",11.81796636,92.61200306,2.213204125,23.8580265,"Low rise apartment (multiple units, with 4 or fewer stories)","3"
"416","wake forest","NC",15.43333333,101.2742355,2.156420352,71.52583313,"One-family house detached from any other house","5"
"418","Candler","NC",10.49357798,112.8490826,2.549742582,790.3125,"One-family house detached from any other house","3"
"419","Katy","TX",20.75198777,86.00351682,1.898432769,34.68111038,"One-family house detached from any other house","3"
"421","Cumming","GA",15.46788991,117.6438073,2.681670212,355.3460999,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"422","Carnegie","PA",10.53746177,86.09044343,1.641202297,345.6836243,"One-family house detached from any other house","3"
"423","Peru","IL",10.05328746,71.34097859,0.900174142,194.3191681,"One-family house detached from any other house","3"
"424","Carrboro","NC",14.88906728,97.33899083,1.698932469,136.7336121,"One-family house detached from any other house","3"
"425","Durham","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","4"
"426","Topeka ","KS",12.34373089,72.97117737,0.814619926,316.5869446,"One-family house detached from any other house","4"
"428","Broxton","GA",18.88845566,101.3146024,2.469298906,66.7444458,"One-family house detached from any other house","2"
"429","Stem","NC",14.54518349,92.76712538,2.011053903,137.7061157,"One-family house detached from any other house","2"
"430","grand island","NY",8.608792049,67.8601682,1.065982742,123.3691635,"One-family house detached from any other house","4"
"432","Rancho Cucamonga","CA",11.98409786,47.55840979,1.13715173,1048.727539,"Duplex or two-family house (designed for two families)","3"
"433","Barboursville","VA",13.49181957,87.03302752,2.043231376,194.8988953,"One-family house detached from any other house","4"
"434","Franklin","IN",11.52247706,87.31085627,1.085099943,225.4174957,"One-family house detached from any other house","3"
"435","Durham","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","3"
"436","Bothell","WA",11.1014526,79.94380734,2.608986975,84.25081635,"One-family house detached from any other house","3"
"437","Lynchburg","VA",13.87331804,84.83990826,2.352892185,229.5341644,"One-family house detached from any other house","3"
"438","Las Vegas","NV",17.15512232,11.21391437,0.206655058,991.2583618,"One-family house detached from any other house","3"
"439","Cherry Valley","NY",6.766437309,88.5733945,2.183676564,429.188324,"One-family house detached from any other house","5"
"440","tryon","NC",14.38103976,113.0635321,2.182730162,448.561676,"One-family house detached from any other house","3"
"441","oakland","CA",14.09617737,41.10183486,1.87041945,115.6696014,"Duplex or two-family house (designed for two families)","2"
"442","Scotts Valley","CA",13.79136086,51.00313456,2.171941254,253.009201,"One-family house detached from any other house","4"
"444","Ladonia","TX",17.82262997,88.32477064,1.202453058,152.4450073,"One-family house detached from any other house","3"
"445","Clatskanie","OR",9.332415902,129.1902141,2.896691404,276.848938,"Low rise apartment (multiple units, with 4 or fewer stories)","6 or more"
"446","Raleigh","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","3"
"447","Gainesville","FL",20.72599388,115.0859327,3.247236528,36.76833344,"One-family house detached from any other house","3"
"448","Milwaukee","WI",7.990061162,63.14136086,NA,187.468338,"Duplex or two-family house (designed for two families)","3"
"451","Hamilton","NJ",11.35496942,95.97515291,2.082980009,41.57500076,"One-family house detached from any other house","4"
"452","Silver Spring","MD",12.51139144,88.78639144,1.81817838,137.5811157,"One-family house detached from any other house","3"
"453","Brighton","MA",9.388990826,94.63203364,1.966573293,52.88596344,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"454","Alford","MA",7.741896024,99.82844037,2.121403695,394.9091797,"One-family house detached from any other house","2"
"455","youngsville","NC",15.43333333,101.2742355,2.156420352,71.52583313,"One-family house detached from any other house","3"
"457","Charlotte","NC",16.00198777,93.89120795,1.29519988,201.6608276,"One-family house detached from any other house","4"
"460","Atlanta","GA",16.65221713,102.9034404,2.095661718,274.2244568,"One-family house detached from any other house","2"
"461","Scottsville","VA",14.27522936,84.47683486,1.514006662,113.5241699,"One-family house detached from any other house","3"
"462","Waverly","PA",8.354892966,78.0030581,1.668079956,414.5877686,"One-family house detached from any other house","6 or more"
"463","Alfred","NY",6.396559633,81.04740061,1.191853424,568.6791382,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"464","Bristol","CT",9.477905199,95.34373089,2.113075408,97.82694244,"One-family house detached from any other house","3"
"465","Cary","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","3"
"466","Oxford ","OH",10.77943425,83.16314985,0.993678073,313.1816711,"One-family house detached from any other house","3"
"467","Jamaica Plain","MA",9.388990826,94.63203364,NA,52.88596344,"Low rise apartment (multiple units, with 4 or fewer stories)","3"
"469","cleveland","MS",17.32943425,108.7146024,1.240498185,40.30333328,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"470","Fort Myers","FL",23.39021407,111.2025994,2.157934589,8.213375092,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"471","Frederick","MD",12.51139144,88.78639144,1.209267119,137.5811157,"One-family house detached from any other house","4"
"473","Livingston","MT",5.189678899,39.41597859,0.491331013,1787.723633,"One-family house detached from any other house","4"
"474","Charlotte","NC",16.00198777,93.89120795,1.29519988,201.6608276,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"475","DeKalb","IL",9.293730887,70.24816514,0.941437009,238.2258301,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"476","ELMHURST","IL",9.759174312,71.12874618,NA,193.5566711,"One-family house detached from any other house","4"
"478","Port Washington","WI",7.990061162,63.14136086,1.151347664,187.468338,"One-family house detached from any other house","3"
"479","Columbia","SC",16.90611621,99.18990826,1.844109631,114.922226,"One-family house detached from any other house","3"
"480","Winona","MN",7.465214067,63.08065749,0.917398551,335.3013916,"One-family house detached from any other house","1"
"481","Hillsborough","NC",14.54518349,92.76712538,2.011053903,137.7061157,"One-family house detached from any other house","3"
"482","clintwood","VA",12.56039755,90.50022936,2.276234096,523.3805542,"One-family house detached from any other house","3"
"483","Raleigh","NC",15.40512232,94.05412844,2.156420352,96.75722504,"One-family house detached from any other house","4"
"484","Garner","NC",15.40512232,94.05412844,2.156420352,96.75722504,"One-family house detached from any other house","3"
"485","Portland","OR",10.72392966,91.80917431,1.927392495,120.6025009,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"486","Cranford","NJ",11.15,97.4837156,2.2052544,60.80302048,"One-family house detached from any other house","5"
"489","Austin","TX",20.15902141,63.98692661,0.917398545,210.0549927,"One-family house detached from any other house","3"
"490","Superior","WI",4.333103976,57.81360856,1.97471229,336.3366699,"One-family house detached from any other house","2"
"491","Macomb, ","MI",8.752599388,61.41047401,1.059168685,197.3336182,"One-family house detached from any other house","3"
"493","Hickory","NC",15.03088685,98.2733945,2.611258339,330.7252808,"One-family house detached from any other house","3"
"494","Lexington","KY",12.78448012,93.83784404,1.278921863,269.7555542,"One-family house detached from any other house","5"
"495","Dearborn Heights","MI",9.307874618,67.98195719,1.165732887,191.672226,"One-family house detached from any other house","2"
"496","Albany","CA",14.09617737,41.10183486,1.87041945,115.6696014,"One-family house detached from any other house","2"
"497","New Hampton","IA",7.603975535,68.0896789,0.928755302,370.4841614,"One-family house detached from any other house","3"
"498","Mountain View","CA",13.79136086,51.00313456,2.266391583,253.009201,"One-family house detached from any other house","3"
"499","SCOTT TOWNSHIP","PA",8.354892966,78.0030581,1.615271047,414.5877686,"Duplex or two-family house (designed for two families)","1"
"500","Bryan","TX",20.41727829,82.12798165,1.094374625,93.21138763,"One-family house detached from any other house","3"
"501","Coatesville","PA",11.8103211,92.14327217,1.691739853,81.75190735,"One-family house detached from any other house","2"
"502","Cambridge","MA",9.388990826,94.63203364,NA,52.88596344,"One-family house detached from any other house","4"
"503","Charlotte ","NC",16.00198777,93.89120795,1.739248934,201.6608276,"One-family house detached from any other house","4"
"504","Sunspot","NM",11.21567278,34.46146789,1.321320413,2038.452759,"Duplex or two-family house (designed for two families)","3"
"505","Portland","OR",10.72392966,91.80917431,1.927392495,120.6025009,"One-family house detached from any other house","2"
"506","Gainesville","FL",20.72599388,115.0859327,3.247236528,36.76833344,"One-family house detached from any other house","3"
"507","Escanaba","MI",5.451605505,66.24701835,2.305572376,226.0319519,"One-family house detached from any other house","3"
"508","San Jose","CA",12.78998471,51.68119266,1.116520292,378.8544312,"One-family house detached from any other house","3"
"509","Oakland","CA",14.09617737,41.10183486,1.87041945,115.6696014,"One-family house detached from any other house","3"
"510","Denver","CO",6.594877676,32.73715596,0.720737433,2119.006104,"One-family house detached from any other house","3"
"511","Madison","AL",15.94151376,114.7675076,1.581957906,220.6450043,"One-family house detached from any other house","3"
"512","Burlington","VT",6.708715596,74.17110092,1.360501207,70.81639099,"Duplex or two-family house (designed for two families)","2"
"513","Davis","CA",15.42813456,41.17079511,0.94541187,15.96166706,"One-family house detached from any other house","3"
"515","Morrisville","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"517","Perkins","OK",16.20550459,71.10703364,0.705784373,313.6911011,"One-family house detached from any other house","3"
"519","Colorado Springs","CO",9.466513761,29.63233945,0.520290734,2004.253662,"One-family house detached from any other house","3"
"520","Northfield","NH",6.960091743,87.59441896,2.167398556,222.6697235,"Duplex or two-family house (designed for two families)","2"
"521","Cambridge","MA",9.388990826,94.63203364,NA,52.88596344,"Duplex or two-family house (designed for two families)","3"
"522","Greensburg ","PA",10.59304281,88.16972477,1.641202297,330.4186096,"One-family house detached from any other house","3"
"523","Boalsburg","PA",9.469877676,80.85925076,2.201847367,372.6585999,"One-family house detached from any other house","3"
"524","Missoula","MT",5.834250765,28.80466361,1.125416421,1497.740845,"One-family house detached from any other house","1"
"525","Wilton","IA",9.620107034,69.42721713,0.925158992,239.0658264,"One-family house detached from any other house","3"
"526","Cave Creek ","AZ",18.85779817,27.44740061,0.584456391,732.7105713,"One-family house detached from any other house","3"
"527","Chapel Hill","NC",14.88906728,97.33899083,1.698932469,136.7336121,"One-family house detached from any other house","5"
"528","Beaufort","SC",19.1353211,106.0122324,2.820033317,2.902759552,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"530","Seattle","WA",11.1014526,79.94380734,2.186705014,84.25081635,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","3"
"531","Duluth","GA",16.65221713,102.9034404,2.095661718,274.2244568,"One-family house detached from any other house","4"
"532","Austin","MN",6.743730887,65.97629969,1.001438524,395.8069458,"One-family house detached from any other house","3"
"533","Worthington","OH",10.11330275,77.9633792,1.082828585,285.2580566,"One-family house detached from any other house","4"
"534","Cary","NC",15.40512232,94.05412844,1.698932469,96.75722504,"Duplex or two-family house (designed for two families)","2"
"535","Milford","NH",7.73264526,92.51964832,2.227400058,205.5700073,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"536","Tampa","FL",22.15588685,112.4344801,1.448705334,25.95861053,"One-family house detached from any other house","3"
"537","Milwaukie","OR",11.17729358,90.90749235,1.927392495,96.17082977,"One-family house detached from any other house","2"
"539","Saint Peters","MO",13.017737,77.81299694,1.078664447,169.9763947,"One-family house detached from any other house","4"
"540","Santa Cruz","CA",13.18310398,67.05321101,2.171941254,81.91304016,"One-family house detached from any other house","3"
"541","Raleigh","NC",15.40512232,94.05412844,2.156420352,96.75722504,"One-family house detached from any other house","3"
"543","Grantsville","MD",9.591972477,97.16070336,2.057427327,684.3983154,"One-family house detached from any other house","1"
"544","St. Louis","MO",13.58379205,78.43256881,1.065982738,148.6699982,"One-family house detached from any other house","2"
"546","Santa Barbara","CA",14.03287462,28.1837156,1.6612659,285.3345032,"Duplex or two-family house (designed for two families)","2"
"547","Atlanta","GA",16.65221713,102.9034404,2.095661718,274.2244568,"One-family house detached from any other house","3"
"548","Temple","TX",19.59510703,66.32217125,0.87992126,175.5569458,"One-family house detached from any other house","3"
"550","SARASOTA","FL",22.81444954,104.4943425,1.576658087,10.83112431,"One-family house detached from any other house","3"
"551","Buckingham","VA",13.8103211,83.39036697,2.266013008,238.8325043,"One-family house detached from any other house","2"
"552","Moraga","CA",14.09617737,41.10183486,1.87041945,115.6696014,"One-family house detached from any other house","3"
"554","Colchester","VT",6.708715596,74.17110092,1.360501207,70.81639099,"One-family house detached from any other house","4"
"555","Eldorado","IL",13.97438838,95.6587156,1.002195638,127.8700027,"One-family house detached from any other house","3"
"556","Greensboro","NC",14.56414373,88.55282875,1.67546184,225.6538849,"One-family house detached from any other house","2"
"557","Vallejo","CA",14.24908257,60.2470948,1.87041945,143.1794128,"Duplex or two-family house (designed for two families)","2"
"559","NEW HARTFORD","NY",6.514525994,93.27316514,1.433562996,301.5666809,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"560","Winston-Salem","NC",14.2883792,90.05229358,2.060455779,275.8555603,"One-family house detached from any other house","3"
"561","Kingston Springs","TN",14.82522936,106.3435015,1.798114779,194.0680542,"One-family house detached from any other house","3"
"562","Mount Horeb","WI",7.131957187,66.57591743,0.996327977,294.9661255,"One-family house detached from any other house","3"
"563","Portland","OR",10.72392966,91.80917431,1.927392495,120.6025009,"One-family house detached from any other house","3"
"565","Fayetteville","NC",15.98998471,99.99847095,1.314317073,53.32805634,"One-family house detached from any other house","3"
"566","Cedar Park","TX",20.15902141,63.98692661,0.917398545,210.0549927,"One-family house detached from any other house","4"
"567","Houston ","TX",20.45542813,93.55756881,2.567534829,14.17661858,"High rise apartment (multiple units, with 5 or more stories)","1"
"569","New Castle","DE",11.8103211,92.14327217,1.236334048,81.75190735,"One-family house detached from any other house","2"
"570","Feasterville","PA",11.35496942,95.97515291,2.082980009,41.57500076,"One-family house detached from any other house","4"
"571","Raleigh","NC",15.40512232,94.05412844,2.156420352,96.75722504,"One-family house detached from any other house","3"
"572","Knoxville","TN",13.88509174,106.1841743,1.977740765,523.4371948,"One-family house detached from any other house","3"
"573","Saint Paul","MN",7.233333333,59.23409786,0.919291337,284.1616516,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"574","Orlando","FL",21.99166667,115.6674312,2.152256217,14.28972244,"One-family house detached from any other house","3"
"575","Mount Horeb","WI",7.131957187,66.57591743,0.996327977,294.9661255,"One-family house detached from any other house","4"
"576","Colorado Springs","CO",9.466513761,29.63233945,0.520290734,2004.253662,"One-family house detached from any other house","5"
"577","Kitty Hawk","NC",15.44900612,103.991896,NA,1.396656513,"One-family house detached from any other house","3"
"578","Chapel Hill","NC",14.88906728,97.33899083,1.698932469,136.7336121,"One-family house detached from any other house","4"
"579","Denton","TX",18.24029052,73.32125382,0.744018775,220.7477722,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"580","Miami","FL",24.37759939,128.5626147,NA,1.923296809,"One-family house detached from any other house","3"
"581","Oxford","NC",14.54518349,92.76712538,1.448705327,137.7061157,"One-family house detached from any other house","3"
"582","Cleburne","TX",18.84579511,67.03264526,0.931783768,218.3894501,"A mobile home","3"
"583","Ladera Ranch","CA",16.28264526,34.18035168,1.037212298,232.911026,"One-family house detached from any other house","4"
"584","Bisbee","AZ",15.68608563,28.77392966,0.307162327,1400.406128,"One-family house detached from any other house","2"
"585","Saugus","MA",9.388990826,94.63203364,NA,52.88596344,"One-family house detached from any other house","3"
"586","Safety Harbor","FL",22.52897554,113.0506116,1.467443971,4.501904964,"One-family house detached from any other house","3"
"587","Phoenix","AZ",20.02224771,19.43876147,0.286909448,523.6925049,"One-family house detached from any other house","3"
"588","Vero Beach","FL",22.5911315,108.9124618,NA,4.849117279,"One-family house detached from any other house","4"
"589","Fayetteville","WV",12.32943425,91.18149847,2.523054217,400.546936,"One-family house detached from any other house","2"
"590","Gainesville","FL",20.72599388,115.0859327,3.247236528,36.76833344,"One-family house detached from any other house","3"
"591","West Burlington","IA",10.59816514,72.57324159,0.990081776,197.6488953,"One-family house detached from any other house","3"
"592","Utica","NY",6.514525994,93.27316514,1.433562996,301.5666809,"Duplex or two-family house (designed for two families)","3"
"593","Milton","WI",7.872094801,67.19847095,1.084532102,274.6097107,"One-family house detached from any other house","3"
"596","Palatine","IL",8.596559633,69.1764526,NA,253.6741638,"One-family house detached from any other house","4"
"597","Savannah","GA",19.11391437,102.441208,2.431253787,11.96749973,"One-family house detached from any other house","3"
"598","Vilas","NC",11.02828746,96.86842508,1.903354024,948.1744385,"One-family house detached from any other house","3"
"599","Wisconsin Rapids","WI",6.042889908,65.02584098,1.13734101,314.6227722,"One-family house detached from any other house","4"
"600","Holly Springs","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","3"
"601","Rutherfordton","NC",14.38103976,113.0635321,2.182730162,448.561676,"One-family house detached from any other house","1"
"602","Gainesville","FL",20.72599388,115.0859327,2.532139617,36.76833344,"One-family house detached from any other house","3"
"604","Grassy","MO",13.71399083,94.86001529,1.15002272,188.1783295,"One-family house detached from any other house","2"
"606","Minneapolis","MN",7.233333333,59.23409786,0.919291337,284.1616516,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"607","Minneapolis","MN",7.233333333,59.23409786,0.919291337,284.1616516,"One-family house detached from any other house","3"
"608","Kansas City","MO",12.5912844,79.44044343,1.040240765,272.7763977,"One-family house detached from any other house","5"
"609","Plano","TX",18.26253823,79.21972477,0.778656872,194.1074982,"One-family house detached from any other house","3"
"610","Coos Bay","OR",11.68012232,115.8809633,2.284183812,110.4423523,"One-family house detached from any other house","4"
"611","Providence","RI",9.993501529,93.25229358,2.145063591,30.41094589,"Duplex or two-family house (designed for two families)","6 or more"
"614","Troy","TX",19.59510703,66.32217125,0.972857358,175.5569458,"One-family house detached from any other house","3"
"615","Kirkland","WA",11.1014526,79.94380734,2.608986975,84.25081635,"One-family house detached from any other house","5"
"617","Astoria","NY",11.81796636,92.61200306,2.213204125,23.8580265,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"618","Matthews","NC",16.00198777,93.89120795,1.739248934,201.6608276,"One-family house detached from any other house","3"
"619","Beverly","MA",8.818042813,88.30993884,NA,19.12055397,"One-family house detached from any other house","4"
"620","Lewiston","ID",9.908256881,34.39044343,1.034183827,859.5841675,"One-family house detached from any other house","3"
"621","Wallkill","NY",9.274006116,94.33455657,1.980012111,246.6316681,"One-family house detached from any other house","4"
"622","Glenwood","NM",9.922171254,29.53608563,0.716384011,1988.788574,"One-family house detached from any other house","1"
"624","Shiocton","WI",6.783256881,62.61873089,1.06465778,242.2583313,"One-family house detached from any other house","4"
"625","Watertown","MA",9.388990826,94.63203364,1.966573293,52.88596344,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"626","Meridian","MS",18.00764526,115.3926606,2.125567839,115.2094421,"One-family house detached from any other house","2"
"627","Durham","NC",14.54518349,92.76712538,1.698932469,137.7061157,"One-family house detached from any other house","4"
"628","San Diego","CA",16.81697248,22.42683486,1.389839487,103.6060028,"One-family house detached from any other house","2"
"631","Carrboro","NC",14.88906728,97.33899083,1.698932469,136.7336121,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"632","Bend","OR",8.230428135,30.24136086,0.579345851,990.0255737,"One-family house detached from any other house","4"
"633","Overland Park","KS",13.17729358,80.94074924,1.102135071,304.1794434,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"634","sa","CA",13.79816514,72.84296636,2.483494848,120.170105,"One-family house detached from any other house","2"
"635","Arlington","TX",18.83256881,69.65810398,0.82370533,197.8705597,"One-family house detached from any other house","5"
"636","Fort Worth","TX",18.83256881,69.65810398,0.82370533,197.8705597,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"637","E. Greenwich","RI",9.993501529,93.25229358,2.145063591,30.41094589,"One-family house detached from any other house","2"
"638","delton","MI",8.954969419,70.29801223,1.080746513,255.1641693,"One-family house detached from any other house","3"
"639","Arlington","VA",14.01888379,87.26605505,1.25412629,64.78483582,"One-family house detached from any other house","3"
"640","Rainier","OR",9.332415902,129.1902141,2.774417026,276.848938,"One-family house detached from any other house","3"
"641","Fort Worth","TX",18.83256881,69.65810398,0.82370533,197.8705597,"One-family house detached from any other house","3"
"642","Hamilton","MI",8.922247706,69.87117737,1.282518173,184.8455505,"One-family house detached from any other house","4"
"643","olympia","WA",9.813073394,146.9873853,2.214339787,212,"One-family house detached from any other house","3"
"645","Atlanta","GA",16.65221713,102.9034404,2.095661718,274.2244568,"One-family house detached from any other house","5"
"648","Erie","PA",9.101911315,78.14487768,1.72410661,188.9750061,"One-family house detached from any other house","3"
"649","Tipton","IA",9.620107034,69.42721713,1.016770145,239.0658264,"One-family house detached from any other house","4"
"650","Rome","GA",15.66620795,118.7213303,1.929663839,239.2244415,"One-family house detached from any other house","4"
"651","Fulton","MO",12.78172783,79.97920489,1.029073288,221.4455566,"One-family house detached from any other house","3"
"652","Carrboro","NC",14.88906728,97.33899083,1.698932469,136.7336121,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","2"
"653","Brighton","MI",8.57469419,63.89495413,1.064468505,279.9338989,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"654","Alameda","CA",14.09617737,41.10183486,1.87041945,115.6696014,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"655","Summerton","SC",17.50649847,93.68195719,1.484479106,37.58027649,"One-family house detached from any other house","3"
"656","Ocoee","FL",21.8411315,113.3574924,2.152256217,28.14388847,"One-family house detached from any other house","3"
"657","League City","TX",20.45542813,93.55756881,1.584039977,14.17661858,"One-family house detached from any other house","4"
"659","fountain city","WI",7.040825688,61.33853211,0.898849185,286.2644348,"One-family house detached from any other house","3"
"660","minneapolis","MN",6.540137615,59.26934251,0.919291337,278.4336243,"One-family house detached from any other house","2"
"662","Gainesville","FL",20.72599388,115.0859327,3.247236528,36.76833344,"One-family house detached from any other house","3"
"663","Watertown","MA",9.388990826,94.63203364,1.966573293,52.88596344,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"664","Bridgewater","VA",12.62285933,80.3851682,1.46952605,400.1588745,"One-family house detached from any other house","3"
"665","Bellmore","NY",11.81796636,92.61200306,2.179701704,23.8580265,"One-family house detached from any other house","4"
"666","Hustisford","WI",7.675917431,66.74350153,1.093806784,265.8544312,"One-family house detached from any other house","4"
"667","Philadelphia","PA",12.40282875,91.6633792,1.236334048,25.62282181,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","1"
"668","Philadelphia","PA",12.40282875,91.6633792,1.236334048,25.62282181,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"670","San Francisco","CA",14.09617737,41.10183486,1.87041945,115.6696014,"Duplex or two-family house (designed for two families)","2"
"671","Salisbury","NC",15.24342508,92.16062691,2.060455779,225.508606,"One-family house detached from any other house","4"
"672","Star","ID",9.471559633,35.03555046,1.093049672,1087.946655,"One-family house detached from any other house","3"
"673","Brookline","MA",9.388990826,94.63203364,NA,52.88596344,"Low rise apartment (multiple units, with 4 or fewer stories)","3"
"674","Santa Monica","CA",14.72262997,37.28784404,1.220434586,389.5596313,"One-family house detached from any other house","3"
"675","Ypsilanti","MI",9.459633028,65.69365443,1.064468505,253.6655579,"High rise apartment (multiple units, with 5 or more stories)","1"
"676","Denver","CO",6.594877676,32.73715596,0.720737433,2119.006104,"Duplex or two-family house (designed for two families)","1"
"677","Harrisburg","IL",13.90932722,93.5116208,1.027180502,147.5427704,"One-family house detached from any other house","3"
"678","Richardson","TX",18.8132263,75.17469419,0.778656872,155.8502808,"One-family house detached from any other house","4"
"679","Durham","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","3"
"680","Kansas City","MO",13.17729358,80.94074924,1.040240765,304.1794434,"One-family house detached from any other house","3"
"681","lovington","NM",16.44350153,27.79571865,0.414483648,1132.539673,"Boat, RV, van, etc","1"
"683","Pleasantville","NY",10.60825688,101.411315,1.980012111,127.7934723,"One-family house detached from any other house","3"
"684","Brookfield","WI",7.394495413,64.4940367,1.089074804,287.4455566,"One-family house detached from any other house","4"
"685","Milwaukee","WI",7.990061162,63.14136086,NA,187.468338,"Duplex or two-family house (designed for two families)","3"
"686","Sebastian","FL",22.5911315,108.9124618,NA,4.849117279,"One-family house detached from any other house","3"
"687","Plano","TX",18.26253823,79.21972477,0.778656872,194.1074982,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"688","College Station","TX",20.41727829,82.12798165,1.094374625,93.21138763,"One-family house detached from any other house","3"
"689","Peoria","IL",10.54411315,73.692737,0.902445487,192.5113831,"One-family house detached from any other house","3"
"691","midlothian","VA",14.41674312,92.96659021,1.844488198,77.79194641,"One-family house detached from any other house","4"
